   b                         theta
   1.4552098196261953        6.0964544009876427     
   4.1886039280478053        2.8148371459336738     
   3.6086865863300694        4.1045635578606552     
   2.5909227178477301        9.6731429498512517E-002
   1.3797684012311322        3.2336622570838065     
   4.7308592441615929        2.2066359236829247     
   1.6855798564842881        5.6682270696344430     
   2.6643438150564491        4.4992901090117599     
   2.2850794814758553        5.5715166049079343     
   4.3862990291082644        3.5449505677272102     
   2.8920914526938857        4.7146582788446256     
   1.4957040636351626       0.72522618674640282     
   3.9060771521480735        3.8374768526485705     
   2.4439983257200861        3.0051903368495444E-002
   1.0172906035038112        4.0666854841620683     
   4.7409265121908710        2.0944287028018889     
   3.8774779100819301        1.4625926994162350     
   4.6375306702768890        4.0414334620589019     
   4.2714922684026693        6.0030764075103376     
   4.4350761570205730        5.6581433664799272     
   1.2718264630510738        1.3844894113932729     
   2.8103752582186408        1.1493735770774178     
   1.0943021334822922        3.1054102876165612     
   3.5583610682709148        1.0597590079818140     
   4.7883853038708342        2.0898334520083837     
   4.7884187744642661        5.9876019165562484     
   3.9297783303787881        4.4762321870522142     
   1.1596639596870646       0.81282513107656518     
   2.6001096512399768        6.2775580370325130     
   2.9682564255853459        1.5458366783293647     
   4.1091041585319186        5.3417889993654928     
   3.5217176784615041        3.6952954417979043     
   4.5082854789479052        3.7613665304481945     
   4.0111442060751790        3.8620442871748186     
   4.0349016664679551        5.0045579219406724     
   4.7142940850415389        4.2402622380811410     
   2.3902816918086844        3.9893371946513692     
   4.4067063142100533        6.1006484816047717     
   2.4301361569827233        5.5393503969444140     
   3.8198777898856258        6.0441955002995753     
   1.1763844397727370        4.5159522099829008     
   3.9360771185881056        2.4742026294669537     
   1.4311722473574293        1.6813581565687674     
   1.0249520214792125        3.3899008868760698     
   3.9931841887499302        2.2031650512839605     
   3.5178561843250238        3.3186873705481079     
   3.6431679575547946        4.4008406938540965     
   2.9329381958530405        5.0956692114597706     
   1.7177198810460537        1.4065261259143431     
   4.4736618416361580        4.0847914803946335     
   3.3862935912655585        2.9700163743029093     
   4.6649067612863071        3.6388521545619601     
   3.3854350354648655        3.4307606317303927     
   4.2647803350994673        3.0886235709270782     
   2.9751827603981895        6.2189155519659902     
   3.2368036699912888        4.8404521768047539     
   1.1002659686670622        3.1607484173189757     
   3.2209408578419612        3.0472071112846910     
   2.5118590943613208        1.2110743809288711     
   1.7508650081188581        5.8137500815823673     
   4.6171305781490553        1.7788840661844074     
   2.2833082752280638        5.6021260299907238     
   2.7294688966587888        3.0948868734979653     
   4.3123502847247002        4.6526185221622720     
   2.6739373366610919        3.9871674260655250     
   4.5037762342385630       0.69653634818975607     
   1.7025479823987655        4.3166598435890027     
   4.9638564603219892        4.9274203923254172     
   2.4636487786730203       0.73956990710330694     
   4.4747007671415320        1.6289214755252921     
  0.67167534944401663        3.4132707426790700     
   4.9798013979062423        2.7998056133040614     
   4.9360376667112451        4.6193064368862009     
   2.9518540228605965        4.3124956418451310     
   3.6053662677936322        1.8210751146326440     
   4.9621585014395810        2.6339859446840213     
   3.8265018560216872        5.1740200861402501     
   4.0660603192401092        1.7443792831503202     
   1.5112712349064781       0.90441356249384042     
   1.7821961878480084        6.0023138214350098     
   3.3101646753933012        5.8329387534847426     
   3.5584847832142481        4.4682499127196875     
   4.6523207994762430        1.1182690941267861     
   4.4517350560627156        1.6574921755432603     
   4.3952870685067733        3.6532920670584215     
   4.8257296009828510        3.4333586908118967     
   3.1711253979226335        4.4547304430352241     
   3.3909068321558786        1.9972028983298042     
   2.6749140451730979        3.8675805730920971     
   3.1533267174854478        3.6962698116208981     
   3.6747492046708001       0.73939790316086518     
   4.9284234295278058        3.9393755629395915     
   4.1667649212205156        1.6904558359237594     
   1.6125369788883441        3.3454248236480097     
   2.7620395163428002        4.4627154973197616     
   4.5909512033439883        4.5934718364595613     
   4.6088614814120712        4.2195853242770172     
   4.5853053645434620        4.6670480290177458     
   3.1242176808744166        1.2119067475972891     
   3.9382888731305341        3.7529707662754190     
   3.9513424757455167        2.8788774624037212     
   3.9290432614070161        5.0823631570429910     
   1.6201093325634330        7.8526475372405813E-002
   1.4856129168622920        1.3580624751668486     
   3.5179584925170042        2.5866468999322629     
   2.8782236789210556        1.5794571750377504     
   1.7770478736062889        4.9429760568944898     
   4.5936935848104614        1.6242176339384062     
   3.5540061741999707       0.19970260475506130     
   4.3705284589568363        1.4081064647291228     
   3.6385241037117657        5.4585395993490513     
   1.8939382683203632        2.1801476720940487     
  0.88643957103319826        1.8850065270554119     
   4.9946397753040559        5.8326005939153740     
   4.1516498632882106        1.0155451676385516     
   3.7607171155670134        2.4590978450336345     
   3.5444555062076262        2.5552571085399798     
   4.9311893418741501        4.9205823303710794     
  0.40376343016764193       0.44507654071146541     
   4.3511373894562668        1.0655609706055271     
   1.7552111798797445        1.5760219418572901     
   4.3497372947495814       0.59645126700785245     
   4.8936972874267317        5.3510334209953596     
   4.7009146840716021       0.87989388870415874     
   4.9188794932465987        5.6402202390087490     
  0.64669570328185033        3.1964293236037125     
   3.6087641473308874        2.3584795672182497     
   4.4245722262404703        4.9395817553036165     
   4.4779461067005313        1.9129513966956595     
   4.1141846401015911        4.7680343907934413     
   3.8139561000462763        5.5549124916142780     
   3.8595108260250788        1.7193634256490800     
   4.4404398428892682        3.1329572800639678     
   3.4573877404062032       0.25807533329087812     
   3.3727309109723569        3.9519828321806330     
   4.4818229072561460        5.4992075725136829     
   1.3459563567208588       0.88930522843934812     
   3.9068980735155168        1.0738868227857334     
   1.9291574995003937        4.4596671994708483     
   4.7900978120529398        4.6264271307261122     
   3.1701913788507090        2.3378446139856206     
   1.2651454525180830        4.0256158494023966     
   4.2749374185680340        3.3804748081362348     
   3.9856041265088060        5.9567706753260676     
   3.5297146743336008        2.6843046998789206     
   3.6810774807487761        2.3736219384244355     
   4.4244338072534735        3.1396982218105105     
  0.30494762198361025        4.3074468279682572     
   4.7855206580069485        1.7622053189170093     
   4.4517734381944916        3.6291968829120465     
   2.5122081418921631        3.5624692070055715     
   2.4946305530735202        1.0020684707105201     
   3.5185146242210763        5.6668362724807375     
   3.1651617198876796        3.2049869161716442     
   3.5299630916139240       0.44517377916530759     
   2.3968101748013924        4.7228017461516760     
   3.3641816985850932       0.28381921744540828     
   4.0657540704162898       0.74109364272000977     
   3.1906454685056818        4.3092943958904115     
   4.1818418473777781        5.5646227005576154     
   1.7379731079489316        4.3061636336486036     
   3.1314934133614165        4.9488458555490631     
   3.9412034292547675        4.1535949365688021     
   4.2329585471522515        4.0235004559516954     
   3.7435912726580489        3.2972699274459827     
   4.2204611402689176        5.3706580366449490     
   2.5576859222947141        4.8634327106223525     
   3.4986445068174543        4.6373065387565315     
   3.5015137325786752        2.9977582648974703     
   3.8266259074585456        2.1631193157013495     
   2.4518182584086530        1.6677171761361476     
   4.5841272541403839        2.1740901959523544     
   4.8103197208213491        5.1408746435655751E-003
   4.0002959081081766       0.75023421488739883     
   4.7197874600476695        5.5111829386801769     
   3.2573906266403387        4.7460623267467543     
   4.2581374062211275        5.5717448162863548     
   4.0525922038138606        3.8003950598697873     
   2.8441005685881384       0.42202196541822978     
   4.7830013141567722       0.20372494576656797     
   2.9537895235643346        1.9865358502581598     
   2.8148235672092685        3.5407418400277200     
   1.9972690182228785        5.1763036573465149     
   4.8991541823757760        2.6847012995373838     
   3.9509362481839396        2.7663753875403945     
   2.5112290381276319        1.6742790232300189     
   4.2254721561563811       0.64870680746525811     
